Path                 | Version      | Description                             | Location
-------              | -------      | -------                                 | -------
build-tools;28.0.3   | 28.0.3       | Android SDK Build-Tools 28.0.3          | build-tools/28.0.3/
build-tools;29.0.2   | 29.0.2       | Android SDK Build-Tools 29.0.2          | build-tools/29.0.2/
build-tools;29.0.3   | 29.0.3       | Android SDK Build-Tools 29.0.3          | build-tools/29.0.3/
cmdline-tools;latest | 1.0          | Android SDK Command-line Tools (latest) | cmdline-tools/latest/
ndk-bundle           | 21.1.6352462 | NDK                                     | ndk-bundle/
patcher;v4           | 1            | SDK Patch Applier v4                    | patcher/v4/
platform-tools       | 29.0.6       | Android SDK Platform-Tools              | platform-tools/
platforms;android-28 | 6            | Android SDK Platform 28                 | platforms/android-28/
platforms;android-29 | 4            | Android SDK Platform 29                 | platforms/android-29/
tools                | 26.1.1       | Android SDK Tools 26.1.1                | tools/
